"recordID","name","site","YEAR"
88,"GreenM","HBR",2015
88,"RinaldoA",NA,2015
88,"LikensG","HBR",2015
88,"McGuireK","HBR",2015
88,"McGuireK","LUQ",2015
88,"BotterG",NA,2015
89,"SteinbergD","PAL",2015
89,"RossR","PAL",2015
89,"RuckK","PAL",2015
89,"GleiberM","PAL",2015
89,"GarzioL","PAL",2015
89,"CopeJ","PAL",2015
89,"BernardK","PAL",2015
89,"StammerjohnS","PAL",2015
89,"SchofieldO","PAL",2015
89,"QuetinL","PAL",2015
90,"RobertsonG","KBS",2015
90,"HamiltonS","KBS",2015
90,"HamiltonS","KBS  ",2015
91,"GaiserE","FCE",2015
92,"WeeseD","KBS",2015
92,"HeathK","KBS",2015
92,"DentingerB",NA,2015
92,"LauJ","KBS",2015
93,"ShaoS","HBR",2015
93,"DriscollC","HBR",2015
93,"JohnsonC","CAP",2015
93,"JohnsonC","HBR",2015
93,"JohnsonC","ARC",2015
93,"JohnsonC","PAL",2015
93,"FaheyT","LUQ",2015
93,"FaheyT","HBR",2015
93,"BattlesJ","HBR",2015
93,"BlumJ","HBR",2015
94,"KominoskiJ","FCE",2015
94,"RosemondA","CWT",2015
94,"BensteadJ",NA,2015
94,"GulisV",NA,2015
94,"MaerzJ","CWT",2015
94,"ManningD",NA,2015
95,"GillinC",NA,2015
95,"BaileyS","HBR",2015
95,"McGuireK","HBR",2015
95,"McGuireK","LUQ",2015
95,"GannonJ",NA,2015
96,"BeierC","BNZ",2015
96,"CaputoJ",NA,2015
96,"GroffmanP","HBR",2015
96,"GroffmanP","BES",2015
97,"DavisonJ",NA,2015
98,"SchmidtT","KBS",2015
98,"SchmidtT","KBS  ",2015
98,"WaldronC","KBS",2015
99,"HallworthM",NA,2015
99,"SilletT",NA,2015
99,"Van WilgenburgS",NA,2015
99,"HobsonK",NA,2015
99,"MaraP",NA,2015
100,"HallworthM",NA,2015
100,"MarraP",NA,2015
101,"GelfandI","KBS",2015
101,"RobertsonG","KBS",2015
102,"DormanR",NA,2015
102,"SantoraJ",NA,2015
103,"CurticeC",NA,2015
103,"JohnstonD","PAL",2015
103,"DucklowH","PAL",2015
103,"GalesN",NA,2015
103,"HalpinP",NA,2015
103,"FriedlaenderA","PAL",2015
104,"WagnerS","JRN",2015
104,"WagnerS","FCE",2015
104,"AllredS",NA,2015
104,"DittmarT",NA,2015
104,"Jaff{\'e}R",NA,2015
105,"FosterJ",NA,2015
105,"D{\textquoteright}AmatoA",NA,2015
106,"FangY",NA,2015
106,"LinG",NA,2015
106,"ZhouG",NA,2015
106,"XiaoJ",NA,2015
106,"ChenJ","KBS",2015
106,"SunG",NA,2015
106,"CaldwellP","CWT",2015
106,"McNultyS",NA,2015
106,"NoormetsA",NA,2015
106,"DomecJ",NA,2015
106,"KingJ","CDR",2015
106,"KingJ","KBS",2015
106,"ZhangZ",NA,2015
106,"ZhangX","PIE",2015
106,"ZhangX","KBS",2015
107,"MelaasE","HFR",2015
107,"FriedlM",NA,2015
107,"RichardsonA","HBR",2015
107,"RichardsonA","HFR",2015
108,"BerdanierB",NA,2015
108,"ClarkS",NA,2015
109,"BurkeB","CWT",2015
109,"Welch-DevineM","CWT",2015
109,"GustafsonS","CWT",2015
110,"DolschakK",NA,2015
110,"GartnerK",NA,2015
110,"BergerT",NA,2015
111,"MarraP",NA,2015
111,"StuddsC","BES",2015
111,"WilsonS","FCE",2015
111,"SillettT",NA,2015
111,"SherryT","HBR",2015
111,"HolmesR","HBR",2015
112,"BresnahanP",NA,2015
113,"FergusonP",NA,2015
113,"ConroyM",NA,2015
113,"Hepinstall-CymermanJ","CWT",2015
114,"ComeauS",NA,2015
114,"CarpenterR","MCR",2015
114,"LantzC",NA,2015
114,"EdmundsP","MCR",2015
115,"BrewinR",NA,2015
115,"GrantM","SGS",2015
115,"GroomS",NA,2015
115,"HorsemanA",NA,2015
115,"HuC",NA,2015
115,"KrasemannH",NA,2015
115,"LeeZ","KBS",2015
115,"MaritorenaS","MCR",2015
115,"MeelinF",NA,2015
115,"PetersM",NA,2015
115,"PlattT",NA,2015
115,"SathyendranathS",NA,2015
115,"RegnerP",NA,2015
115,"SmythT",NA,2015
115,"SteinmetzF",NA,2015
115,"SwintonJ",NA,2015
115,"WerdellJ",NA,2015
115,"WhiteG",NA,2015
115,"MullerD",NA,2015
115,"BrockmannC",NA,2015
115,"DeschampsP",NA,2015
115,"DevredE",NA,2015
115,"DoerfferR",NA,2015
115,"FomferraN",NA,2015
115,"FranzB",NA,2015
116,"KahruM","CCE",2015
116,"MitchellB",NA,2015
117,"GallaherC","KBS",2015
117,"SnappS","KBS",2015
118,"KoslowJ",NA,2015
118,"CoutureJ",NA,2015
119,"DucklowH","PAL",2015
119,"WilsonS","FCE",2015
119,"PostA",NA,2015
119,"StammerjohnS","PAL",2015
119,"EricksonM","PAL",2015
119,"EricksonM","GCE  ",2015
119,"LeeS","KBS",2015
119,"LeeS","FCE",2015
119,"LeeS","BES",2015
119,"LowryK",NA,2015
119,"SherrellR","PAL",2015
119,"YagerP",NA,2015
120,"LeighD","CWT",2015
120,"GragsonT","CWT",2015
120,"CoughlanM","CWT",2015
121,"SantoraJ",NA,2015
121,"SydemanW","CCE",2015
122,"MillerH","NWT",2015
122,"SubramanianA",NA,2015
123,"de VerneilA",NA,2015
124,"ChenillatN",NA,2015
124,"BlankeB",NA,2015
125,"GrossK","KBS",2015
125,"GrossK","KBS  ",2015
125,"EmeryS","KBS",2015
125,"DavisA","KBS",2015
125,"DavisA","FCE",2015
125,"SmithR","INT",2015
125,"SmithR","PAL",2015
125,"SmithR","KBS",2015
125,"RobinsonT","SBC",2015
125,"RobinsonT","KBS",2015
126,"ProberS",NA,2015
126,"BakkerJ",NA,2015
126,"ClelandE","NWK",2015
126,"DeCrappeoN",NA,2015
126,"DeLorenzeE",NA,2015
126,"HagenahN",NA,2015
126,"HautierY",NA,2015
126,"HofmockelK","KBS",2015
